id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
134842,Sickness_and_lack_of_access_to_medicines Dehydration,Horn of Africa (P),0,1.0,North Africa,20/09/2016,Regional Mixed Migration Secretariat,,-9.310180663999999,32.76452637,UNKNOWN
134843,Starvation Dehydration Harsh_weather_lack_of_adequate_shelter,Horn of Africa (P),0,7.0,North Africa,21/09/2016,Regional Mixed Migration Secretariat,,18.44488525,30.15887451,UNKNOWN
134844,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,Sub-Saharan Africa,23/09/2016,Regional Mixed Migration Secretariat,,-0.455078125,39.65167236,UNKNOWN
134845,Shot_or_Stabbed,Horn of Africa (P),0,1.0,Horn of Africa,23/09/2016,Regional Mixed Migration Secretariat,,2.7766723630000003,45.503479,UNKNOWN
134846,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,Horn of Africa,23/09/2016,Regional Mixed Migration Secretariat,,-0.353820801,42.54547119,UNKNOWN
134847,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,Horn of Africa,03/10/2016,Regional Mixed Migration Secretariat,,9.356872559,42.79547119,UNKNOWN
134848,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,03/10/2016,Regional Mixed Migration Secretariat,,13.62792969,25.36212158,UNKNOWN
134849,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,03/10/2016,Regional Mixed Migration Secretariat,,12.08648682,32.92230225,UNKNOWN
134850,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,Horn of Africa,10/10/2016,Regional Mixed Migration Secretariat,,9.60748291,41.85632324,UNKNOWN
134851,Vehicle_Accident,Horn of Africa (P),0,30.0,North Africa,10/10/2016,Regional Mixed Migration Secretariat,,12.04388428,24.89489746,UNKNOWN
134852,Sickness_and_lack_of_access_to_medicines Excessive_physical_abuse,Horn of Africa (P),0,6.0,North Africa,10/10/2016,Regional Mixed Migration Secretariat,,29.9597168,20.22668457,UNKNOWN
134853,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,5.0,Horn of Africa,10/10/2016,Regional Mixed Migration Secretariat,,12.95349121,36.15789795,UNKNOWN
134854,Vehicle_Accident,Horn of Africa (P),0,3.0,North Africa,19/10/2016,Regional Mixed Migration Secretariat,,14.0402832,35.36987305,UNKNOWN
134855,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,3.0,North Africa,10/10/2016,Regional Mixed Migration Secretariat,,31.18670654,29.92132568,UNKNOWN
134856,Shot_or_Stabbed,Horn of Africa (P),0,6.0,Horn of Africa,10/10/2016,Regional Mixed Migration Secretariat,,11.5701294,37.36651611,UNKNOWN
134857,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,2.0,North Africa,10/10/2016,Regional Mixed Migration Secretariat,,12.96270752,36.1506958,UNKNOWN
134858,Sickness_and_lack_of_access_to_medicines Starvation Harsh_weather_lack_of_adequate_shelter Suffocation Excessive_physical_abuse,Horn of Africa (P),0,2.0,North Africa,10/10/2016,Regional Mixed Migration Secretariat,,17.58349609,33.97692871,UNKNOWN
134859,Sickness_and_lack_of_access_to_medicines Starvation Harsh_weather_lack_of_adequate_shelter Suffocation Excessive_physical_abuse,Horn of Africa (P),0,1.0,North Africa,14/10/2016,Regional Mixed Migration Secretariat,,19.53112793,33.35668945,UNKNOWN
134860,Sickness_and_lack_of_access_to_medicines Excessive_physical_abuse Sexual_abuse Shot_or_Stabbed,Horn of Africa (P),0,1.0,North Africa,14/10/2016,Regional Mixed Migration Secretariat,,23.92388916,32.58728027,UNKNOWN
134861,Sickness_and_lack_of_access_to_medicines Starvation Harsh_weather_lack_of_adequate_shelter Suffocation Excessive_physical_abuse Sexual_abuse,Horn of Africa (P),0,2.0,Horn of Africa,14/10/2016,Regional Mixed Migration Secretariat,,17.79089356,34.01647949,UNKNOWN
134862,Sickness_and_lack_of_access_to_medicines Starvation Harsh_weather_lack_of_adequate_shelter Suffocation Excessive_physical_abuse Sexual_abuse,Horn of Africa (P),0,2.0,Horn of Africa,14/10/2016,Regional Mixed Migration Secretariat,,19.488891600000002,31.10247803,UNKNOWN
134863,Shot_or_Stabbed,Horn of Africa (P),0,1.0,Horn of Africa,15/10/2016,Regional Mixed Migration Secretariat,,15.15930176,36.5112915,UNKNOWN
134864,Excessive_physical_abuse,Horn of Africa (P),0,1.0,Horn of Africa,15/10/2016,Regional Mixed Migration Secretariat,,14.87329102,38.15887451,UNKNOWN
134865,Starvation Harsh_weather_lack_of_adequate_shelter,Horn of Africa (P),0,1.0,Horn of Africa,15/10/2016,Regional Mixed Migration Secretariat,,17.70471191,38.36871338,UNKNOWN
