id,cause_of_death,missing,dead,affected_nationality
180,Drowning,0.0,2.0,Zimbabwe
183,Drowning,0.0,1.0,Cuba
188,Shot,0.0,1.0,Ethiopia
189,Starvation,0.0,2.0,Somalia
193,Drowning,9.0,0.0,Syria
194,Drowning,0.0,2.0,Syria
198,Drowning,0.0,1.0,Cuba
199,Vehicle accident,0.0,1.0,Sudan
200,Drowning,3.0,21.0,Ethiopia
201,Drowning,23.0,0.0,Sub-Saharan Africa
202,Hypothermia,0.0,17.0,Sub-Saharan Africa
205,Drowning,6.0,0.0,Sub-Saharan Africa
206,Drowning,12.0,0.0,Sub-Saharan Africa
207,Drowning,30.0,0.0,Ethiopia
208,Drowning,0.0,4.0,Afghanistan
209,Drowning,11.0,27.0,Afghanistan
211,Drowning,20.0,0.0,Sub-Saharan Africa
214,Drowning,2.0,0.0,Cuba
215,Hit by truck,0.0,1.0,Syria
218,Hit by vehicle,0.0,1.0,Ethiopia
235,Drowning,85.0,10.0,Sub-Saharan Africa
236,Drowning,6.0,2.0,Sub-Saharan Africa
243,Drowning,8.111111111111109,5.0,Palestine
243,Drowning,8.111111111111109,1.6666666666666667,Syria
243,Drowning,8.111111111111109,1.6666666666666667,Egypt
246,Drowning,55.22222222222222,0.3333333333333333,Syria
246,Drowning,55.22222222222222,0.3333333333333333,Egypt
246,Drowning,55.22222222222222,0.3333333333333333,Sudan
255,Tortured to death,0.0,1.0,Bangladesh
256,Drowning,9.0,0.0,China
257,Drowning,0.0,42.0,Syria
258,Drowning,5.75,0.0,Dominican Republic
258,Drowning,5.75,0.0,Haiti
259,Drowning,6.0,11.0,Cuba
260,Drowning,0.0,1.0,Haiti
264,Drowning,5.0,4.0,Cuba
265,Drowning,8.0,18.0,Sub-Saharan Africa
267,Drowning,81.0,170.0,Sub-Saharan Africa
270,Asphyxiation,0.0,1.0,Afghanistan
275,Drowning,170.0,2.0,Syria
278,Electrocution,0.0,1.0,Mexico
281,Drowning,108.0,20.0,Sub-Saharan Africa
285,Hit by truck,0.0,1.0,Eritrea
288,Drowning,13.25,0.5,Egypt
288,Drowning,13.25,0.5,Syria
289,Beaten to death,0.0,29.0,Sub-Saharan Africa
292,Drowning,10.25,0.0,Gambia
292,Drowning,10.25,0.0,Ghana
